"Cluster","ESCS","ICTHOME","BELONG","TEACHSUP","CT_Mean","Count"
"1",-1.09311296296296,-3.43540071225071,-0.265204415954416,0.258625071225071,25.5791595441595,702
"2",-0.0160993098688751,0.0879951690821261,0.763934575569358,0.949424982746722,30.9700897170462,1449
"3",-0.505401327433628,0.148976902654867,-0.518085442477876,-0.692374955752212,26.8358274336283,2260
"4",-1.77642886492039,0.199629121725732,-0.493430919363123,0.877245146379045,22.423677452491,1947
