cluster_id,cluster_name,size,prevalence,top_above,top_below
0,Alta — Engajamento Criativo,3620,0.9441836202399583,ICTRES;CR590Q04S;CR590Q05S;CR590Q03S;CR590Q23S;CR590Q14S;CR590Q26TT;CR590Q40TT;CR590Q28TT;CR590Q36TT,CR590Q43TT;CR590Q03TT;CR590Q38TT;CR590Q20TT;CR590Q47TT;CR590Q52TT;CR590Q22TT;CR590Q04TT;CR590Q35TT;CR590Q01TT
1,Alta — Engajamento Criativo,214,0.05581637976004173,CR590Q43TT;CR590Q03TT;CR590Q38TT;CR590Q20TT;CR590Q47TT;CR590Q52TT;CR590Q22TT;CR590Q04TT;CR590Q35TT;CR590Q01TT,ICTRES;CR590Q04S;CR590Q05S;CR590Q03S;CR590Q23S;CR590Q14S;CR590Q26TT;CR590Q40TT;CR590Q28TT;CR590Q36TT
