threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,brier,average_precision,roc_auc
0.10999999999999999,0.9129442451907401,0.7867912411340141,0.2777777777777778,0.648854961832061,0.3890160183066362,0.38700416233770796,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.12,0.9162047603521356,0.7702617675811718,0.27972027972027974,0.6106870229007634,0.38369304556354916,0.37587615096091,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.135,0.9250081512879035,0.7420414127337396,0.2946058091286307,0.5419847328244275,0.3817204301075269,0.36377994101799677,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.11499999999999999,0.9135963482230193,0.7725458639266177,0.27364864864864863,0.6183206106870229,0.3793911007025761,0.3732666133329138,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.105,0.9077274209325074,0.7877129396592966,0.2654320987654321,0.6564885496183206,0.378021978021978,0.378545122370132,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.09999999999999999,0.9051190088033909,0.7899970360047424,0.26047904191616766,0.6641221374045801,0.3741935483870968,0.37648196705714637,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.13,0.9214215846103685,0.7438146098966242,0.28346456692913385,0.549618320610687,0.37402597402597404,0.3577681461961831,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.12499999999999999,0.9178350179328334,0.7528807953907273,0.2767527675276753,0.5725190839694656,0.373134328358209,0.3603348680579081,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.095,0.9015324421258559,0.7954167273332362,0.25501432664756446,0.6793893129770993,0.37083333333333335,0.3762195088239035,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.19,0.9445712422562765,0.6756830189071698,0.3597122302158273,0.3816793893129771,0.37037037037037035,0.34157062820827383,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.13999999999999999,0.925334202804043,0.7276257357988227,0.28879310344827586,0.5114503816793893,0.3691460055096419,0.34813245099182866,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.195,0.9452233452885556,0.6723771241966013,0.362962962962963,0.37404580152671757,0.3684210526315789,0.33983995134927164,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.19999999999999996,0.9452233452885556,0.6723771241966013,0.362962962962963,0.37404580152671757,0.3684210526315789,0.33983995134927164,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.245,0.950766221062928,0.657039748736402,0.4074074074074074,0.33587786259541985,0.3682008368200837,0.34456320665881945,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.20499999999999996,0.9462014998369742,0.6692415292135533,0.36923076923076925,0.366412213740458,0.367816091954023,0.33972457227771297,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.24,0.9494620149983698,0.6600050439919296,0.39473684210526316,0.3435114503816794,0.3673469387755102,0.34205283438785944,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.235,0.9491359634822302,0.6598347442644092,0.391304347826087,0.3435114503816794,0.36585365853658536,0.34025754396553387,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.07,0.8822954026736224,0.8400664558936706,0.2374429223744292,0.7938931297709924,0.3655536028119508,0.3930747221509849,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.16499999999999998,0.9354417998043691,0.6964400856958629,0.3149171270718232,0.4351145038167939,0.36538461538461536,0.3371214088569013,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.20999999999999996,0.9465275513531138,0.6657653347754644,0.3700787401574803,0.35877862595419846,0.3643410852713178,0.33648201685478135,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.09,0.896315617867623,0.799984920024128,0.24661246612466126,0.6946564885496184,0.364,0.3729142138187924,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.08499999999999999,0.8917508966416694,0.8121867005012792,0.24296675191815856,0.7251908396946565,0.36398467432950193,0.3785529488192264,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.21999999999999997,0.9475057059015325,0.6626297397924164,0.3770491803278688,0.3511450381679389,0.36363636363636365,0.3365278968296736,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.22999999999999998,0.9484838604499511,0.6594941448093683,0.38461538461538464,0.3435114503816794,0.3629032258064516,0.33673206569905234,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.08,0.8888164329964134,0.817946991284814,0.2400990099009901,0.7404580152671756,0.36261682242990656,0.3802087636722649,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.185,0.9426149331594392,0.6746612205420471,0.3448275862068966,0.3816793893129771,0.36231884057971014,0.33282508600471133,0.03373039724313117,0.31684046237976116,0.9196978284834745
0.21499999999999997,0.9471796543853929,0.6624594400648959,0.37398373983739835,0.3511450381679389,0.36220472440944884,0.3348629991544462,0.03373039724313117,0.31684046237976116,0.9196978284834745
