feature,missing_ratio,variance
CR220Q01TT,0.4981742305685968,38762970987.467606
CR559Q08TT,0.4900886802295253,29473517911.6466
CR559Q01TT,0.48982785602503914,10167837245.409279
CR559Q01F,0.49400104329681793,8382097366.446544
CR220Q02TT,0.4979134063641106,5983233635.311402
CR559Q06TT,0.48982785602503914,5394924473.103019
CR559Q03TT,0.4900886802295253,5067593468.793324
CR559Q06F,0.49765258215962443,4684325042.3190565
CR220Q04TT,0.4981742305685968,3664738145.0665574
CR559Q04TT,0.48982785602503914,3336513755.6386976
CR220Q06TT,0.4986958789775691,3112840023.1947155
CR559Q04F,0.49582681272822116,2928161138.630858
CR559Q03F,0.49582681272822116,2696093401.285922
CR220Q05TT,0.4986958789775691,1201707619.7120664
CR559Q08A,0.4900886802295253,23984.60013369876
CR220Q01A,0.4981742305685968,488.58326813940124
CR559Q06A,0.48982785602503914,288.6322552180694
CR559Q01A,0.48982785602503914,26.818820806202712
CR559Q04A,0.48982785602503914,26.150623272318203
CR220Q02A,0.4979134063641106,18.98913516613257
CR220Q04A,0.4981742305685968,11.978942810153827
CR220Q06A,0.4986958789775691,6.574445248131878
HISCED,0.006781429316640584,6.55585425806352
CR559Q03A,0.4900886802295253,5.458351005030056
CR220Q05A,0.4986958789775691,3.598735978932801
CR220Q01V,0.4981742305685968,2.5402487886895373
CR220Q02V,0.4979134063641106,1.5221184010794402
HOMEPOS,0.0,0.9095411707988786
ICTRES,0.0,0.9038847147902135
CR220Q04V,0.4981742305685968,0.6717951059167275
CR559Q04V,0.48982785602503914,0.39488036391617626
CR220Q05V,0.4986958789775691,0.38335809364378287
ST004D01T,0.0,0.2498911531749666
CR559Q03S,0.49713093375065204,0.24516946161395298
CR559Q03V,0.4900886802295253,0.23807379595894845
CR559Q06S,0.5,0.23333112918512638
CR559Q01V,0.48982785602503914,0.22371832670489
CR559Q01S,0.4947835159102765,0.20486843041613617
CR559Q06V,0.48982785602503914,0.16807468812860432
CR559Q04S,0.4966092853416797,0.1379658514322532
CR220Q06V,0.4986958789775691,0.06180909800643408
CR559Q08V,0.4900886802295253,0.0510776355466016
CR220Q04VS,0.4981742305685968,0.04733160515385048
CR220Q02VS,0.4979134063641106,0.03453776353516613
CR559Q04VS,0.48982785602503914,0.030506260428820563
CR220Q05VS,0.4986958789775691,0.02657763061153997
CR220Q01VS,0.4981742305685968,0.02509795298256837
CR559Q03VS,0.4900886802295253,0.017155827081193866
CR559Q06VS,0.48982785602503914,0.013665414162704238
CR559Q01VS,0.48982785602503914,0.0060973314765328
CR559Q08VS,0.4900886802295253,0.0005112473099992804
