,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
CR590Q21S,1412.0,0.9313031161473088,0.2530275954202333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q21TT,1412.0,4221.4730878186965,4142.342961473972,3.0,146.55,769.0,2426.75,3253.5,4731.25,10294.050000000003,21153.280000000115,82645.0
CR590Q49S,1177.0,0.9082412914188616,0.28880774663789527,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q49TT,1251.0,5054.809752198242,5596.242228690322,8.0,114.0,498.0,2711.5,3830.0,5678.5,11885.5,23547.0,114324.0
CR590Q40S,1174.0,0.8756388415672913,0.3301337542737002,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q40TT,1317.0,3629.4426727410782,3016.579689565121,11.0,190.0,826.4,2041.0,2819.0,4241.0,8480.800000000001,16407.959999999992,35511.0
CR590Q11S,1416.0,0.9364406779661016,0.24405244905928905,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q11TT,1416.0,4667.9300847457625,3710.8356979850996,7.0,142.3,687.75,2715.75,3819.5,5645.75,10560.5,19765.24999999986,39794.0
CR590Q29S,1167.0,0.844044558697515,0.3629686415098544,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q29TT,1377.0,5095.338416848221,4792.473233470411,16.0,122.03999999999999,859.4,3009.0,4149.0,6064.0,11499.6,19870.44,118280.0
CR590Q63S,1158.0,0.9326424870466321,0.25074842852476287,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q63TT,1182.0,5921.659898477157,13410.52960793053,11.0,105.43,656.95,3212.5,4509.5,6859.5,13219.700000000003,22512.450000000073,439686.0
CR590Q17S,1387.0,0.8680605623648161,0.3385469789196386,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q17TT,1387.0,4520.058399423216,3746.3518266244773,17.0,96.86,672.9,2394.5,3647.0,5529.5,11015.5,20538.38,41074.0
CR590Q62S,1145.0,0.868122270742358,0.3385056409469142,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q62TT,1171.0,4606.450042698548,3691.544426039759,21.0,91.80000000000001,597.0,2636.5,3763.0,5616.0,10920.0,19146.799999999992,51975.0
CR590Q66S,1135.0,0.8061674008810573,0.3954735381728013,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q66TT,1157.0,7019.329299913569,5327.141491474343,15.0,150.12,759.6000000000001,3760.0,5791.0,8933.0,16855.4,25623.320000000025,52293.0
CR545Q02S,1848.0,0.39935064935064934,0.4898975179723221,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR545Q02TT,1875.0,232851.5616,1940850.6392915712,318.0,5011.18,21896.9,89478.0,163727.0,259005.5,433425.8999999999,615520.36,84007312.0
CR545Q02F,1856.0,187258.4067887931,1949866.2920831323,2.0,994.2,6277.0,49003.0,113082.0,204036.75,376746.75,519281.2000000001,83969384.0
CR545Q02A,1875.0,4.126933333333334,29.880067901078046,0.0,0.740000000000002,1.0,1.0,2.0,4.0,10.0,20.25999999999999,1258.0
CR545Q02V,1875.0,1.1642666666666666,0.512077124216167,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0
CR545Q02VS,1875.0,0.009066666666666667,0.1054690865163874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CR545Q03S,1857.0,1.1814754981152396,0.8297547016050928,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
CR545Q03TT,1873.0,112533.5915643353,91101.9268122829,774.0,6356.4,19114.200000000004,62961.0,97018.0,144147.0,247469.9999999999,377585.04,1900961.0
CR545Q03F,1861.0,43999.67006985492,39399.146777723414,1.0,399.6000000000001,3997.0,17022.0,33902.0,59417.0,120451.0,187585.6000000001,433400.0
CR545Q03A,1873.0,6.395088093966898,4.042617176788898,0.0,1.0,4.0,4.0,5.0,7.0,12.0,22.0,71.0
CR545Q03SA,1834.0,0.7949836423118866,0.4038236838692356,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR545Q03SB,1822.0,0.818880351262349,0.38522301172507134,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR545Q03SC,1822.0,0.9110867178924259,0.28469667307669877,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR545Q03SD,1823.0,0.575973669775096,0.49432989532246785,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR545Q03V,1873.0,1.232781633742659,0.6563737501099816,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,9.0
CR545Q03VS,1873.0,0.020822210357714897,0.15707654680988675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR545Q04TT,1870.0,226001.41978609626,203891.66195651493,420.0,3066.28,18672.45,94919.5,165995.5,298186.0,631585.45,962494.1699999997,2301226.0
CR545Q04F,1724.0,36981.41415313225,42838.81147001909,2.0,832.5300000000001,2649.15,13581.5,26165.5,44708.5,106635.49999999999,210578.74,498973.0
CR545Q04A,1870.0,140.8620320855615,140.2912212312763,0.0,0.0,0.0,41.0,97.0,204.0,416.54999999999995,628.7899999999995,1196.0
CR545Q04V,1870.0,1.1914438502673796,0.6213015135035459,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0
CR545Q04VS,1870.0,0.01764705882352941,0.15416050480157376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR545Q06S,1842.0,0.5309446254071661,0.4991770285037891,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR545Q06TT,1867.0,45672.245313336905,40023.99856610446,94.0,2432.82,7673.6,20615.5,32987.0,58360.0,122006.69999999988,190666.9799999999,404311.0
CR545Q06F,1845.0,35570.590243902436,34381.76800210004,3.0,860.88,3748.4,14941.0,25565.0,44738.0,100265.19999999997,167071.23999999987,359147.0
CR545Q06A,1867.0,2.21103374397429,2.8782784750791635,0.0,0.0,1.0,1.0,2.0,2.0,6.0,12.339999999999918,57.0
CR545Q06V,1867.0,1.1403320835565078,0.5474451007376429,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,9.0
CR545Q06VS,1867.0,0.025174076057846814,0.18780736639743673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
CR545Q07S,1840.0,0.6086956521739131,0.48817494210319085,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR545Q07TT,1867.0,34912.03963577932,38358.00488903227,1981.0,4357.52,8386.2,16995.0,25494.0,42290.5,87630.49999999997,143859.63999999978,1020624.0
CR545Q07F,1849.0,22655.14169821525,23940.068726155063,1.0,17.0,2596.8,9706.0,15074.0,27510.0,64918.599999999984,113940.91999999995,402136.0
CR545Q07A,1867.0,2.085698982324585,1.8444738243050942,0.0,1.0,1.0,1.0,2.0,2.0,5.0,10.0,24.0
CR545Q07V,1867.0,1.0589180503481521,0.27343926638610305,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0
CR545Q07VS,1867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR220Q01S,1310.0,0.09541984732824428,0.29390617488637477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CR220Q01TT,1924.0,207740.64656964657,196934.32544552293,460.0,1665.75,4936.8,44273.0,173354.5,315993.25,541051.6499999999,815038.0,2799017.0
CR220Q01F,1766.0,32352.09682899207,49735.047304854495,4.0,1144.7000000000003,2493.5,6255.0,15084.0,42628.75,110964.5,180202.94999999998,1147744.0
CR220Q01A,1924.0,19.677754677754677,22.109666248086427,0.0,0.0,0.0,4.0,14.0,27.0,59.0,97.53999999999996,236.0
CR220Q01V,1924.0,1.8316008316008316,1.594230149915295,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,20.0
CR220Q01VS,1924.0,0.019230769230769232,0.15846452107704617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR220Q02S,1839.0,0.3964110929853181,0.48928469986961365,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR220Q02TT,1925.0,84877.72883116883,77371.46388755446,104.0,1380.0000000000002,5391.8,37058.0,71846.0,109353.0,215928.39999999988,338183.83999999997,1424792.0
CR220Q02F,1872.0,31777.699252136754,52290.22682345487,1.0,5.0,2606.3500000000004,8152.5,16446.0,36083.5,105884.29999999996,199840.11999999997,1422531.0
