cluster_id,feature,cluster_mean_z,global_mean_z,delta_z,abs_delta_z,direction,size,prevalence
0,CR590Q18S,-0.009476482599139496,-1.8741166967590019e-16,-0.009476482599139309,0.009476482599139309,below,3620,0.9441836202399583
0,CR590Q03S,0.013273053344987832,2.298051623219938e-16,0.013273053344987603,0.013273053344987603,above,3620,0.9441836202399583
0,CR590Q20S,0.00303384076456883,2.42778034388558e-16,0.003033840764568587,0.003033840764568587,above,3620,0.9441836202399583
0,CR590Q32TT,-0.03752753263720972,1.1119604628483571e-16,-0.03752753263720983,0.03752753263720983,below,3620,0.9441836202399583
0,CR590Q22S,0.006873314734053212,-2.0385941818886546e-17,0.006873314734053232,0.006873314734053232,above,3620,0.9441836202399583
0,CR590Q23S,0.009873772197551124,-5.467138942337756e-17,0.00987377219755118,0.00987377219755118,above,3620,0.9441836202399583
0,CR590Q21S,-0.007765099589925521,-7.41306975232238e-18,-0.007765099589925513,0.007765099589925513,below,3620,0.9441836202399583
0,CR590Q33TT,-0.06503672722857536,-4.4478418513934285e-17,-0.06503672722857531,0.06503672722857531,below,3620,0.9441836202399583
0,CR590Q15TT,-0.0020111866062313285,8.525030215170738e-17,-0.002011186606231414,0.002011186606231414,below,3620,0.9441836202399583
0,CR590Q15S,-0.009235317545656848,-1.547478310797297e-16,-0.009235317545656693,0.009235317545656693,below,3620,0.9441836202399583
0,CR590Q08TT,0.0006035819236097869,2.3629159835527587e-17,0.0006035819236097633,0.0006035819236097633,above,3620,0.9441836202399583
0,CR590Q04TT,-0.06853546902879364,-1.8532674380805953e-17,-0.06853546902879362,0.06853546902879362,below,3620,0.9441836202399583
0,CR590Q23TT,-0.05229912493095933,4.540505223297458e-17,-0.05229912493095938,0.05229912493095938,below,3620,0.9441836202399583
0,CR590Q03TT,-0.08004671706980947,-1.0748951140867451e-16,-0.08004671706980936,0.08004671706980936,below,3620,0.9441836202399583
0,CR590Q13S,-0.0031842748434762567,-1.9273981356038188e-16,-0.003184274843476064,0.003184274843476064,below,3620,0.9441836202399583
0,CR590Q11TT,-0.011287059426623253,-1.4455486017028641e-16,-0.011287059426623109,0.011287059426623109,below,3620,0.9441836202399583
0,CR590Q11S,-0.007341006045783982,-1.737438223200558e-17,-0.007341006045783965,0.007341006045783965,below,3620,0.9441836202399583
0,CR590Q25TT,-0.007762863513118729,2.0385941818886546e-17,-0.00776286351311875,0.00776286351311875,below,3620,0.9441836202399583
0,CR590Q16TT,-0.0040523546280684195,-5.559802314241786e-18,-0.004052354628068414,0.004052354628068414,below,3620,0.9441836202399583
0,CR590Q16S,-0.00765680685047794,4.818495339009547e-17,-0.007656806850477989,0.007656806850477989,below,3620,0.9441836202399583
0,CR590Q30TT,0.0033932485055708822,-6.764426148994172e-17,0.00339324850557095,0.00339324850557095,above,3620,0.9441836202399583
0,CR590Q29TT,-0.003938668753474083,-1.2972872066564167e-16,-0.003938668753473953,0.003938668753473953,below,3620,0.9441836202399583
0,CR590Q38TT,-0.07543832238940695,-7.7837232399385e-17,-0.07543832238940687,0.07543832238940687,below,3620,0.9441836202399583
0,CR590Q44TT,0.003820261605386633,6.393772661378053e-17,0.003820261605386569,0.003820261605386569,above,3620,0.9441836202399583
0,CR590Q47TT,-0.07292190778039964,-3.567539818305146e-17,-0.0729219077803996,0.0729219077803996,below,3620,0.9441836202399583
0,CR590Q46TT,-0.051399157613669796,-1.945930809984625e-17,-0.051399157613669776,0.051399157613669776,below,3620,0.9441836202399583
0,CR590Q55TT,-0.047025911543680105,6.208445917569994e-17,-0.04702591154368017,0.04702591154368017,below,3620,0.9441836202399583
0,CR590Q56TT,0.004149812694901359,-3.89186161996925e-17,0.004149812694901398,0.004149812694901398,above,3620,0.9441836202399583
0,ICTRES,0.022941864489681132,-4.262515107585369e-17,0.022941864489681173,0.022941864489681173,above,3620,0.9441836202399583
0,CR590Q05TT,-0.05937202372034783,3.5212081323531307e-17,-0.05937202372034787,0.05937202372034787,below,3620,0.9441836202399583
0,CR590Q01TT,-0.06546961327225784,-2.779901157120893e-18,-0.06546961327225784,0.06546961327225784,below,3620,0.9441836202399583
0,CR590Q10TT,-0.021128766201533263,-9.787568657363143e-17,-0.021128766201533165,0.021128766201533165,below,3620,0.9441836202399583
0,CR590Q22TT,-0.07103481854247652,4.262515107585369e-17,-0.07103481854247656,0.07103481854247656,below,3620,0.9441836202399583
0,CR590Q14TT,-0.058250573818107686,2.5945744133128332e-17,-0.05825057381810771,0.05825057381810771,below,3620,0.9441836202399583
0,CR590Q14S,0.009717951977604333,1.9273981356038188e-16,0.00971795197760414,0.00971795197760414,above,3620,0.9441836202399583
0,CR590Q26TT,0.009443708954439344,-1.0563624397059392e-16,0.00944370895443945,0.00944370895443945,above,3620,0.9441836202399583
0,CR590Q09S,-0.006289101815136175,-7.413069752322381e-17,-0.006289101815136101,0.006289101815136101,below,3620,0.9441836202399583
0,CR590Q13TT,-0.018907205819581684,-1.6864733686533416e-16,-0.018907205819581514,0.018907205819581514,below,3620,0.9441836202399583
0,CR590Q06S,0.005915002165487609,-1.0192970909443273e-16,0.005915002165487711,0.005915002165487711,above,3620,0.9441836202399583
0,CR590Q20TT,-0.07429261287064144,6.486436033282083e-17,-0.07429261287064151,0.07429261287064151,below,3620,0.9441836202399583
