feature,groups,missing_ratio,variance
ICTRES,accesso_tecnologico,0.0,0.9038847147902135
CR590Q05TT,engajamento_tarefas_criativas,0.6199791340636411,44783113.77655594
CR590Q05S,engajamento_tarefas_criativas,0.6199791340636411,0.18357970821287808
CR590Q01TT,engajamento_tarefas_criativas,0.6205007824726134,26050687.22280748
CR590Q01S,engajamento_tarefas_criativas,0.6205007824726134,0.038905539613372536
CR590Q02TT,engajamento_tarefas_criativas,0.6249347939488784,18173050.30038098
CR590Q02S,engajamento_tarefas_criativas,0.6249347939488784,0.046309102620894035
CR590Q10TT,engajamento_tarefas_criativas,0.6251956181533647,13416884.088407138
CR590Q10S,engajamento_tarefas_criativas,0.6251956181533647,0.10695075809854772
CR590Q22TT,engajamento_tarefas_criativas,0.6254564423578508,28690677.906438395
CR590Q22S,engajamento_tarefas_criativas,0.6254564423578508,0.04448047035637526
CR590Q15TT,engajamento_tarefas_criativas,0.6267605633802817,16959218.85381155
CR590Q15S,engajamento_tarefas_criativas,0.6267605633802817,0.19338194252161264
CR590Q19TT,engajamento_tarefas_criativas,0.627282211789254,9725220.857376518
CR590Q19S,engajamento_tarefas_criativas,0.627282211789254,0.04214313032892091
CR590Q08TT,engajamento_tarefas_criativas,0.6278038601982264,21887922.495809864
CR590Q18TT,engajamento_tarefas_criativas,0.6278038601982264,14876652.518917128
CR590Q18S,engajamento_tarefas_criativas,0.6278038601982264,0.09846247831268914
CR590Q08S,engajamento_tarefas_criativas,0.6278038601982264,0.046647668426860286
CR590Q14TT,engajamento_tarefas_criativas,0.6280646844027126,27595918.793413833
CR590Q14S,engajamento_tarefas_criativas,0.6280646844027126,0.15305467091817165
CR590Q26TT,engajamento_tarefas_criativas,0.628586332811685,26912977.10338371
CR590Q04TT,engajamento_tarefas_criativas,0.628586332811685,24634518.37952466
CR590Q04S,engajamento_tarefas_criativas,0.628586332811685,0.07068581539578338
CR590Q23TT,engajamento_tarefas_criativas,0.6296296296296297,12557065.228305398
CR590Q23S,engajamento_tarefas_criativas,0.6296296296296297,0.18137075976988692
CR590Q09TT,engajamento_tarefas_criativas,0.6298904538341158,13268579.874560544
CR590Q03TT,engajamento_tarefas_criativas,0.6298904538341158,10383593.903088111
CR590Q09S,engajamento_tarefas_criativas,0.6298904538341158,0.09508924735828715
CR590Q03S,engajamento_tarefas_criativas,0.6298904538341158,0.09005637276447051
CR590Q13TT,engajamento_tarefas_criativas,0.6301512780386019,15409316.964355625
CR590Q13S,engajamento_tarefas_criativas,0.6301512780386019,0.1349364706444047
CR590Q11TT,engajamento_tarefas_criativas,0.6306729264475743,13760576.788190955
CR590Q11S,engajamento_tarefas_criativas,0.6306729264475743,0.05951953461648953
CR590Q21TT,engajamento_tarefas_criativas,0.631716223265519,17146852.940493867
CR590Q21S,engajamento_tarefas_criativas,0.631716223265519,0.06397762200162108
CR590Q06TT,engajamento_tarefas_criativas,0.6319770474700053,15919003.459210083
CR590Q06S,engajamento_tarefas_criativas,0.6319770474700053,0.07426613110213814
CR590Q07TT,engajamento_tarefas_criativas,0.634585289514867,24173295.436072223
CR590Q07S,engajamento_tarefas_criativas,0.634585289514867,0.09560317118240716
CR590Q20TT,engajamento_tarefas_criativas,0.6348461137193532,11075542.882857142
CR590Q20S,engajamento_tarefas_criativas,0.6348461137193532,0.09114081632653062
CR590Q25TT,engajamento_tarefas_criativas,0.6351069379238393,18536353.25420026
CR590Q16TT,engajamento_tarefas_criativas,0.636150234741784,19634817.076517515
CR590Q16S,engajamento_tarefas_criativas,0.636150234741784,0.12281445510720573
CR590Q34TT,engajamento_tarefas_criativas,0.6366718831507564,20561244.80788725
CR590Q28TT,engajamento_tarefas_criativas,0.6366718831507564,14684150.28630384
CR590Q27TT,engajamento_tarefas_criativas,0.6369327073552425,20366094.285976827
CR590Q30TT,engajamento_tarefas_criativas,0.6374543557642149,13703786.16925418
CR590Q17TT,engajamento_tarefas_criativas,0.6382368283776735,14025032.937469102
CR590Q17S,engajamento_tarefas_criativas,0.6382368283776735,0.11453142243169527
CR590Q24TT,engajamento_tarefas_criativas,0.639019300991132,14553850.153562913
CR590Q29TT,engajamento_tarefas_criativas,0.6408450704225352,22951120.100434095
CR590Q33TT,engajamento_tarefas_criativas,0.6439749608763693,14187691.865031866
CR590Q36TT,engajamento_tarefas_criativas,0.6455399061032864,21790336.453746613
CR590Q37TT,engajamento_tarefas_criativas,0.6463223787167449,1746980439.1924515
CR590Q31TT,engajamento_tarefas_criativas,0.6468440271257173,13702321.595711814
