algorithm,k,silhouette,calinski_harabasz,davies_bouldin,coverage,n_groups,notes,aic,bic,ari_mean,ari_std,jaccard_mean,jaccard_std,stability_mean,bootstrap_cluster_count_mean,bootstrap_noise_rate_mean,stability_norm_input,silhouette_norm,calinski_norm,davies_norm,stability_norm,cluster_score
agglomerative_ward,2,0.32408959623397027,106.71330709694483,3.1714130019809534,1.0,2.0,,,,0.08553563095295172,0.16105737085620422,0.8740260365347818,0.03414300129144632,0.7083969260056289,2.0,0.0,0.47978083374386676,0.8746367816436265,1.0,0.8393475456609527,0.8226104926195523,0.6244025750607883
agglomerative_ward,3,0.2270603158328897,104.57702481101684,3.8161758155678562,1.0,3.0,,,,0.1027619401994317,0.11071024505428868,0.655089073782684,0.04824665806010721,0.6032350219411999,3.0,0.0,0.37892550699105787,0.6789669323565047,0.9714262750703438,0.7100599244427355,0.04112389910628371,0.3058597107418092
agglomerative_ward,4,0.21222377996878444,100.62695020105036,3.687446032248566,1.0,4.0,,,,,,,,,,,,0.6490474820166451,0.9185922717645626,0.7358727770368535,0.0,0.26805178240237804
agglomerative_ward,5,0.21030190237797808,96.33165939267079,3.2074826766307822,1.0,5.0,,,,,,,,,,,,0.6451718117345723,0.8611408483922978,0.83211486670472,0.0,0.24096248319312324
agglomerative_ward,6,0.21299422300287174,91.98209842838855,3.0392302267412403,1.0,6.0,,,,0.255561749499636,0.11416908784575565,0.5506060584970532,0.04918707595317531,0.5891934666234356,6.0,0.0,0.4030839039983446,0.6506011622226717,0.802963537567393,0.8658527910265982,0.2283174166905182,0.30580623336797175
agglomerative_ward,7,0.2129124292638656,88.49797075907463,2.6223684656686195,1.0,7.0,,,,0.29371635324964857,0.10690661778103505,0.5482294654228164,0.05711987375920861,0.5975438210238203,7.0,0.0,0.42097290933623244,0.6504362164607553,0.756361781657811,0.9494417703073517,0.36693198761061385,0.33241315138740096
agglomerative_ward,8,0.19662511064936739,86.31396768395564,2.511544361470426,1.0,8.0,,,,,,,,,,,,0.6175911086189094,0.7271497699657958,0.971664182182681,0.0,0.18495765925142982
agglomerative_ward,9,0.17549359494788674,84.69599983087201,2.8032107384773997,1.0,9.0,,,,,,,,,,,,0.5749771628550582,0.7055087309123098,0.9131793389536059,0.0,0.17661799419593854
agglomerative_ward,10,0.17741856802153358,83.69337911906787,2.7233523354015685,1.0,10.0,,,,,,,,,,,,0.5788590755070462,0.6920982333312643,0.9291925189174473,0.0,0.17269849148074964
gmm,2,0.2730795270379486,85.38634875399232,6.0607391976317455,1.0,2.0,,439458.24907745584,461582.887703096,0.16608101353497692,0.06991674270054903,0.5811554503930735,0.03336106119049678,0.5820979785802809,2.0,0.0,0.3736182319640252,0.7717695593942893,0.7147424545473655,0.259980834542735,0.0,0.33548223354634965
gmm,3,-0.05462989671396857,39.06148086478839,7.357274571853833,1.0,3.0,,167807.28923009135,200997.3730005134,,,,,,,,,0.11090870079110601,0.09512675994182836,0.0,0.0,0.05229796222569748
gmm,4,-0.05427170472858578,36.59390460529472,6.415675180165242,1.0,4.0,,73046.78536129152,117302.31427649548,,,,,,,,,0.11163103297275255,0.0621218308900041,0.18880919142141306,0.0,0.017592297356614627
gmm,5,-0.07888328806560072,40.2030643203165,5.605526976103396,1.0,5.0,,-105710.96399555207,-50389.989935566206,,,,,,,,,0.06199916120822159,0.11039594597467367,0.3512598351777927,0.0,-0.012010037719267695
gmm,6,-0.09362387063044815,34.79530066346171,5.63825880077838,1.0,6.0,,-312283.64895474276,-245897.22974997503,,,,,,,,,0.03227321088739503,0.03806470387553421,0.3446964607691194,0.0,-0.03440956507404256
gmm,7,-0.06713604728893097,31.949436051529343,5.3977714523854115,1.0,7.0,,-375351.42492641776,-297899.5605768681,,,,,,,,,0.08568871989410566,0.0,0.39291890249747274,0.0,-0.03323121940638921
gmm,8,-0.09585563598960685,42.73394558005452,4.950372524721256,1.0,8.0,,-265500.4262115499,-176983.11671721836,,,,,,,,,0.027772619007647992,0.14424760753725685,0.4826311840905917,0.0,-0.03521337040384298
gmm,9,-0.09444517550538103,43.755496839287964,4.38041418400212,1.0,9.0,,-157208.7061214436,-57625.95148233016,,,,,,,,,0.030616962377330782,0.15791130960282945,0.5969190377202387,0.0,-0.048770505024270674
gmm,10,-0.06289006631568113,39.84817162437231,4.805546272831648,1.0,10.0,,-258540.72912087524,-147892.52933697993,,,,,,,,,0.09425119148698506,0.1056490984535146,0.5116716951160218,0.0,-0.027345577130604835
spectral,2,0.12676048501239884,71.22966683553287,6.046028776404232,1.0,2.0,,,,,,,,,,,,0.4767016707875785,0.5253905427147112,0.2629305632298514,0.0,0.20864902529473808
spectral,3,0.10870481180287304,63.9536686928873,5.029383848122479,1.0,3.0,,,,,,,,,,,,0.4402904880901328,0.4280708341321293,0.46678786025648455,0.0,0.14768313421499302
spectral,4,0.08164307382080603,72.88806303129812,4.3501099647145764,1.0,4.0,,,,,,,,,,,,0.3857176192559983,0.5475723288177589,0.602995629518028,0.0,0.13478040711264708
