metric,mean,std,ci_low,ci_high,n_bootstrap
roc_auc,0.9316078486475051,0.014541382914662553,0.9018781363796448,0.9574762426900585,500
average_precision,0.4428983755011538,0.07923631817490034,0.28515325218076104,0.6054389389187921,500
f1,0.35231205675514665,0.05232145444569426,0.25,0.459143897996357,500
balanced_accuracy,0.7873635342048381,0.04000836350967471,0.7044433948558978,0.869129729344713,500
brier,0.031333245158195494,0.004678107473788451,0.02206029212102294,0.04056120123714208,500
